generation,distance mean
1,1.00E+06
11,9.92E+05
21,9.83E+05
31,9.77E+05
41,9.70E+05
51,9.67E+05
61,9.64E+05
71,9.61E+05
81,9.58E+05
91,9.57E+05
101,9.56E+05
111,9.55E+05
121,9.54E+05
131,9.52E+05
141,9.51E+05
151,9.51E+05
161,9.50E+05
171,9.49E+05
181,9.48E+05
191,9.47E+05
201,9.46E+05
211,9.45E+05
221,9.43E+05
231,9.44E+05
241,9.42E+05
251,9.42E+05
261,9.40E+05
271,9.39E+05
281,9.39E+05
291,9.41E+05
301,9.39E+05
311,9.39E+05
321,9.39E+05
331,9.39E+05
341,9.38E+05
351,9.38E+05
361,9.38E+05
371,9.37E+05
381,9.37E+05
391,9.35E+05
401,9.36E+05
411,9.34E+05
421,9.33E+05
431,9.32E+05
441,9.32E+05
451,9.32E+05
461,9.34E+05
471,9.33E+05
481,9.33E+05
491,9.32E+05
500,9.31E+05
